sex,age,occupation,monthly_income,province,skin_type,concerns,acne_level,consult_influencer,skincare_face_method,cleansing_method,use_cleansing_water,cleansing_types_used,cleansing_type_most_used,cleansing_water_formula,factor_deep_cleansing,factor_acne_friendly,factor_sensitive_friendly,factor_no_allergen,factor_hypoallergenic,factor_moisturizing,factor_low_friction,factor_nourishment,factor_eye_friendly,factor_oil_control,switch_factors,brands_used,brand_primary
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",กทม.,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง), Cleansing balm",Cleansing water,สูตรผิวแพ้ง่าย,5.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,2.0,"เพื่อนแนะนำ (Friend recommended), เห็นคนใช้จริงรีวิว (Online review, Real users), บิวตี้บลอกเกอร์แนะนำ (Beauty bloggers)",Dermavie,Dermavie
ชาย,35 ปี ขึ้นไป,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",กทม.,ผิวผสม,"สิวอักเสบ, รูขุมขนกว้าง",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ไม่ใช้,,,,,,,,,,,,,,,,
หญิง,23-28 ปี,พนักงานบริษัทเอกชน,"25,000 - 29,999 บาท",กทม.,ผิวขาดน้ำ,"สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวหมองคล้ำ","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย","เลือกด้วยตนเอง, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง), Cleansing oil",Cleansing water,"สูตรผิวแพ้ง่าย, สูตรชุ่มชื้น (สำหรับผิวแห้ง)",5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,"เลือกเพราะโปรโมชั่น (Promotion), เห็นคนใช้จริงรีวิว (Online review, Real users), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist), สินค้าออกใหม่/สูตรใหม่ (New product/New formula)","Veloura, Kiyora, Dermavie",Veloura
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"30,000 - 34,999 บาท",กทม.,ผิวผสม,"สิวอักเสบ, ผิวแพ้ง่าย, ผิวแห้ง/ลอก/เป็นขุย","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย",เลือกด้วยตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,"เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง), Cleansing oil, Cleansing balm",Cleansing balm,"สูตรผิวแพ้ง่าย, สูตรชุ่มชื้น (สำหรับผิวแห้ง)",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"เห็นจากโฆษณา (Ads), บิวตี้บลอกเกอร์แนะนำ (Beauty bloggers), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist), สินค้าออกใหม่/สูตรใหม่ (New product/New formula)","Florelle, Aomizu, Bellevia, DermaCerin, Dermavie, Klinor Lab",Dermavie
ชาย,29-34 ปี,ธุรกิจส่วนตัว,"15,000 - 19,999 บาท",กทม.,ผิวธรรมดา,ผิวแพ้ง่าย,"นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย",เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ไม่ใช้,,,,,,,,,,,,,,,,
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"20,000 - 24,999 บาท",ฉะเชิงเทรา,ผิวผสม,"สิวอุดตัน, รูขุมขนกว้าง, ผิวแห้ง/ลอก/เป็นขุย","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย",เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ใช้,"Cleansing water, Cleansing oil",Cleansing water,"สูตรลดสิว-ผิวแพ้ง่าย, สูตรชุ่มชื้น (สำหรับผิวแห้ง)",5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,"เลือกเพราะโปรโมชั่น (Promotion), เห็นคนใช้จริงรีวิว (Online review, Real users), บิวตี้บลอกเกอร์แนะนำ (Beauty bloggers), สินค้าออกใหม่/สูตรใหม่ (New product/New formula), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (Mini size)","Veloura, Florelle, Kiyora, Kireiha, Bellevia, Luvique, Klinor Lab",Veloura
หญิง,29-34 ปี,พนักงานองค์กรระหว่างประเทศ,"25,000 - 29,999 บาท",ฉะเชิงเทรา,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, รูขุมขนกว้าง, ผิวแห้ง/ลอก/เป็นขุย",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกตามเพื่อน, ปรึกษาหมอผิวหนัง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing water,สูตรลดสิว-ผิวแพ้ง่าย,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,"เห็นคนใช้จริงรีวิว (Online review, Real users), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist), ยี่ห้อเดิมที่ใช้อยู่หมด/หาซื้อไม่ได้ (Current brand is out of stock), ไม่เคยเปลี่ยนแบรนด์เลย (No switching)","Florelle, Kiyora, Bellevia",Kiyora
ชาย,23-28 ปี,พนักงานบริษัทเอกชน,"20,000 - 24,999 บาท",กทม.,ผิวผสม,"สิวอุดตัน, รูขุมขนกว้าง",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",ไม่ใช้,,,,,,,,,,,,,,,,
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"35,000 - 39,999 บาท",กทม.,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย",สิวปานกลาง (เป็นสิวอักเสบ/หัวหนองมากกว่า10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,"Cleansing water, Cleansing milk",Cleansing water,"สูตรลดสิว, สูตรลดสิว-ผิวแพ้ง่าย, สูตรผิวแพ้ง่าย",5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,"เห็นคนใช้จริงรีวิว (Online review, Real users), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (Mini size)","Aomizu, Junpure",Aomizu
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",กทม.,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, รูขุมขนกว้าง, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,Cleansing water,Cleansing water,สูตรผิวแพ้ง่าย,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,"เห็นคนใช้จริงรีวิว (Online review, Real users), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (Mini size)",Dermavie,Dermavie
หญิง,23-28 ปี,แม่บ้าน,"ต่ำกว่า 10,000 บาท",ระยอง,ผิวผสม,ผิวหมองคล้ำ,"นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย",เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ,ใช้,Cleansing water,Cleansing water,สูตรคุมมัน (สำหรับผิวมัน),5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,เลือกเพราะโปรโมชั่น (Promotion),Veloura,Veloura
หญิง,18-22 ปี,พนักงานบริษัทเอกชน,"15,000 - 19,999 บาท",ฉะเชิงเทรา,ผิวมัน,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวแห้ง/ลอก/เป็นขุย, ผิวมันเยิ้ม, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว",ใช้,Cleansing water,Cleansing water,"สูตรลดสิว, สูตรลดสิว-ผิวแพ้ง่าย, สูตรผิวแพ้ง่าย",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,ไม่เคยเปลี่ยนแบรนด์เลย (No switching),"Veloura, Kiyora",Veloura
หญิง,29-34 ปี,ธุรกิจส่วนตัว,"40,000 บาท ขึ้นไป",กทม.,ผิวขาดน้ำ,"สิวอักเสบ, สิวอุดตัน, รูขุมขนกว้าง, ผิวหมองคล้ำ, uneven skintone",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง), Cleansing oil, Cleansing balm",Cleansing water,"สูตรลดสิว, สูตรผิวแพ้ง่าย",5.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,"เพื่อนแนะนำ (Friend recommended), บิวตี้บลอกเกอร์แนะนำ (Beauty bloggers), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist)","Dermavie, ของหมอ",Dermavie
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",กทม.,ผิวมัน,"สิวอักเสบ, สิวอุดตัน, ผิวแพ้ง่าย, รูขุมขนกว้าง",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),เลือกด้วยตนเอง,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,Cleansing water,Cleansing water,"สูตรลดสิว-ผิวแพ้ง่าย, สูตรคุมมัน (สำหรับผิวมัน)",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,"ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (Mini size)","Veloura, Kiyora, Bellevia, Dermavie",Dermavie
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",กทม.,ผิวผสม,"สิวอักเสบ, สิวผด, ผิวแพ้ง่าย",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),เลือกด้วยตนเอง,"เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",ใช้,Cleansing water,Cleansing water,สูตรลดสิว-ผิวแพ้ง่าย,4.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,"ราคาถูกกว่า (Cheaper price), ยี่ห้อเดิมที่ใช้อยู่หมด/หาซื้อไม่ได้ (Current brand is out of stock)",DermaCerin,DermaCerin
